year,spp,experiment,replicate,drainage,stream,block,channel,guppy.phenotype,density,structure,light,guppy.freq,riv.pheno,riv.density,riv.size.structure,treatment,color.combo,initial.fish,analysis.use,analysis.use.old,survival,days,date.marked,date.in,date.out,date.died,died.early,removed.early,initial.length,initial.total.length,initial.mass,recap.mass,final.length,recap.length,dissection.length,recap.total.length,dissection.mass,wet.mass.no.ovary.gi,gi.mass,gi.length,initial.sex,final.sex,pregnant,num.embryos,num.imm.eggs,num.imm.eggs.old,stage,wt.mat,wt.imm,somatic.dry.mass,repro.tissue.dry.mass,embryo.dry.mass,embryo.lean.mass,immature.dry,number.regressors,regressor.dry.mass,somatic.lean.mass,off.mass,off.length,num.broods,initial.comments,final.comments,other.comments,marking.group,marked.by,dissection.mark
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.98,5.98,5.98,NA,0.004,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0007,NA,NA,NA,,NA,NA,0.0006,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,6.2,6.2,NA,0.004,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0006,NA,NA,NA,,NA,NA,0.00062,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.42,5.42,5.42,NA,0.002,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0007,NA,NA,NA,,NA,NA,0.00069,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.61,8.61,8.61,NA,0.012,0.008,0,5.8,NA,U,NA,NA,NA,NA,NA,,,0.0017,NA,NA,NA,,NA,NA,0.00158,NA,NA,NA,NA,ripped in half,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.57,8.57,8.57,NA,0.011,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0018,NA,NA,NA,,NA,NA,0.00163,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.39,8.39,8.39,NA,0.011,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0019,NA,NA,NA,,NA,NA,0.00168,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.21,8.21,8.21,NA,0.012,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.002,NA,NA,NA,,NA,NA,0.00179,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.68,8.68,8.68,NA,0.013,0.01,0,6.4,NA,U,NA,NA,NA,NA,NA,,,0.002,NA,NA,NA,,NA,NA,0.00192,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.23,8.23,8.23,NA,0.014,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0023,NA,NA,NA,,NA,NA,0.00197,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,guppy,DensxPheno,1,Guanapo,Mainstem,3,16,LP,24,med,High,LP,NA,0,NA,NA,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.65,8.65,8.65,NA,0.015,NA,NA,NA,NA,U,NA,NA,NA,NA,NA,,,0.0023,NA,NA,NA,,NA,NA,0.00197,NA,NA,NA,NA,NA,NA,NA,NA,NA
